Otras características_Equipamiento,Count
disco duro SSD,2257
,1338
"USB-C, altavoces estéreo, webcam",672
"webcam, altavoces estéreo, USB-C",488
"USB-C, altavoces estéreo, webcam, lector de tarjetas",462
"USB-C, altavoces estéreo, lector de tarjetas, webcam",404
"lector de tarjetas, webcam, altavoces estéreo, USB-C",364
"lector de tarjetas, webcam, USB-C",203
"USB-C, webcam",145
"micrófono integrado, USB-C, Touchpad multitáctil, altavoces estéreo, Touch ID, webcam, Force Touch Trackpad",122
"USB-C, lector de tarjetas, webcam",115
"refrigeración líquida, disco duro SSD",114
"lector de tarjetas, disco duro SSD",111
"webcam, USB-C",103
"disco duro SSD, lector de tarjetas",86
"USB-C, webcam, lector de tarjetas",70
"USB-C, altavoces estéreo, Touch ID, lector de tarjetas, webcam, Force Touch Trackpad",67
"webcam, altavoces estéreo",63
"lector de tarjetas, webcam",63
"disco duro SSD, conector de seguridad Kensington",63
webcam,61
"micrófono integrado, USB-C, altavoces estéreo, webcam",58
"micrófono integrado, USB-C, altavoces estéreo, lector de tarjetas, webcam",54
"conector de seguridad Kensington, disco duro SSD",52
"altavoces estéreo, webcam",52
conector de seguridad Kensington,44
lector de tarjetas,41
"lector de tarjetas, webcam, altavoces estéreo",34
USB-C,28
"lector de tarjetas, micrófono integrado, webcam, altavoces estéreo, USB-C",26
"altavoces estéreo, lector de tarjetas, webcam",19
"USB-C, altavoces estéreo",15
"altavoces estéreo, webcam, lector de tarjetas",15
"micrófono integrado, webcam, altavoces estéreo, USB-C",15
"micrófono integrado, Touchpad multitáctil, altavoces estéreo, lector de tarjetas, webcam",11
"disco duro SSD, refrigeración líquida",11
"micrófono integrado, Touchpad multitáctil, USB-C, altavoces estéreo, lector de tarjetas, webcam",10
"micrófono integrado, altavoces estéreo, Touch ID, webcam, Force Touch Trackpad, Touch Bar",10
"lector de tarjetas, micrófono integrado, webcam, Touchpad multitáctil, altavoces estéreo, USB-C",9
"micrófono integrado, webcam, Touchpad multitáctil, altavoces estéreo, Force Touch Trackpad, Touch ID, USB-C",9
"lector de tarjetas, conector de seguridad Kensington, disco duro SSD",9
"altavoz integrado, disco duro SSD",8
"micrófono integrado, USB-C, TrackPoint / TouchStick / Pointing Stick, altavoces estéreo, webcam",7
"USB-C, lector de tarjetas",6
"lector de tarjetas, micrófono integrado, webcam, Touchpad multitáctil, altavoces estéreo",6
"USB-C, altavoces estéreo, lector de tarjetas",6
"micrófono integrado, USB-C, webcam",5
"conector de seguridad Kensington, lector de tarjetas",5
altavoces estéreo,5
"micrófono integrado, USB-C, altavoces estéreo, webcam, lector de tarjetas",5
"lector de tarjetas, webcam, altavoces estéreo, Force Touch Trackpad, Touch ID, USB-C",5
"disco duro SSD, lector de tarjetas, conector de seguridad Kensington",4
"micrófono integrado, altavoces estéreo, lector de tarjetas, webcam",4
"lector de tarjetas, conector de seguridad Kensington",4
"micrófono integrado, webcam, altavoces estéreo",4
"micrófono integrado, webcam, USB-C",4
"micrófono integrado, Touchpad multitáctil, altavoces estéreo, webcam",4
"micrófono integrado, altavoces estéreo, Touch ID",3
"webcam, lector de tarjetas",3
"micrófono integrado, USB-C, altavoces estéreo, Touch ID, webcam, Force Touch Trackpad, Touch Bar",3
"altavoces estéreo, lector de tarjetas",3
"micrófono integrado, webcam, altavoces estéreo, Force Touch Trackpad, Touch Bar, Touch ID",3
altavoz integrado,3
"micrófono integrado, Touch ID, USB-C, altavoces estéreo, webcam, Force Touch Trackpad, Touch Bar",3
"altavoces estéreo, USB-C",2
"micrófono integrado, webcam, altavoces estéreo, Force Touch Trackpad, Touch Bar, Touch ID, USB-C",2
"altavoces estéreo, lector de tarjetas, micrófono integrado, USB-C, webcam",2
"micrófono integrado, Touchpad multitáctil, USB-C, altavoces estéreo, Touch ID, webcam, Force Touch Trackpad",2
"micrófono integrado, USB-C, Touchpad multitáctil, altavoces estéreo, Touch ID, Force Touch Trackpad",2
"refrigeración líquida, disco duro SSD, con iluminación",2
"USB-C, altavoces estéreo, lector de tarjetas, webcam, micrófono integrado",2
"altavoces estéreo, micrófono integrado, USB-C, webcam",2
"micrófono integrado, altavoces estéreo, webcam",2
"micrófono integrado, Touchpad multitáctil, webcam, lector de tarjetas",2
"micrófono integrado, Touchpad multitáctil, altavoces estéreo, Touch ID, Force Touch Trackpad",2
"micrófono integrado, Touchpad multitáctil, altavoces estéreo, webcam, lector de tarjetas",2
"micrófono integrado, Touchpad multitáctil, altavoces estéreo, Force Touch Trackpad, Touch ID, USB-C",2
"micrófono integrado, Touchpad multitáctil, USB-C, altavoces estéreo, webcam, lector de tarjetas",2
refrigeración líquida,1
"USB-C, micrófono integrado, Touchpad multitáctil, altavoces estéreo, lector de tarjetas, webcam",1
"conector de seguridad Kensington, disco duro SSD, altavoz integrado, lector de tarjetas",1
"disco duro SSD, altavoz integrado",1
"lector de tarjetas, micrófono integrado, webcam, TrackPoint / TouchStick / Pointing Stick, Touchpad multitáctil, altavoces estéreo, lector de tarjetas inteligentes, USB-C",1
"disco duro SSD, altavoz integrado, lector de tarjetas",1
"sensor infrarrojo, lector de tarjetas, altavoz integrado",1
"lector de tarjetas, micrófono integrado, altavoces estéreo, USB-C, webcam",1
"conector de seguridad Kensington, disco duro SSD, altavoz integrado",1
"disco duro SSD, conector de seguridad Kensington, lector de tarjetas",1
"micrófono integrado, Touchpad multitáctil, USB-C, TrackPoint / TouchStick / Pointing Stick, altavoces estéreo, webcam, lector de tarjetas, lector de tarjetas inteligentes",1
"Touchpad multitáctil, altavoces estéreo, altavoces estéreo JBL, lector de tarjetas, webcam",1
"lector de tarjetas, micrófono integrado, USB-C, webcam, altavoces estéreo",1
"lector de tarjetas, micrófono integrado, webcam, TrackPoint / TouchStick / Pointing Stick, Touchpad multitáctil, altavoces estéreo, lector de tarjetas inteligentes",1
"micrófono integrado, Touchpad multitáctil, TrackPoint / TouchStick / Pointing Stick, altavoces estéreo, webcam, lector de tarjetas inteligentes, lector de tarjetas",1
"lector de tarjetas, micrófono integrado, Touchpad multitáctil, altavoces estéreo",1
"micrófono integrado, altavoces estéreo, lector de tarjetas, webcam, Force Touch Trackpad",1
"micrófono integrado, altavoces estéreo, webcam, Force Touch Trackpad",1
"webcam, altavoces estéreo, USB-C, lector de tarjetas",1
"micrófono integrado, Touchpad multitáctil, altavoces estéreo",1
"lector de tarjetas, micrófono integrado, webcam, altavoces estéreo",1
"lector de tarjetas, micrófono integrado, webcam",1
"altavoces estéreo, USB-C, webcam",1
"micrófono integrado, Touchpad multitáctil, TrackPoint / TouchStick / Pointing Stick, altavoces estéreo, webcam, lector de tarjetas",1
"Touchpad multitáctil, altavoces estéreo, lector de tarjetas, webcam",1
"webcam, USB-C, altavoces estéreo",1
"altavoces estéreo, altavoces estéreo JBL",1
"micrófono integrado, Touchpad multitáctil, altavoces estéreo, altavoces estéreo JBL, lector de tarjetas, webcam",1
"USB-C, ScreenPad",1
"conector de seguridad Kensington, altavoz integrado",1
